nba_id,position,first,last,height,weight,draft_year,pos1,pos2,wingspan,standing_reach
101187,Forward-Guard,Alan,Anderson,78.0,220.0,,F,G,81.5,104.0
202711,Forward,Bojan,Bogdanovic,79.0,226.0,2011.0,F,,82.76,
203900,Guard,Markel,Brown,75.0,190.0,2014.0,G,,80.75,100.0
201152,Forward,Thaddeus,Young,80.0,225.0,2007.0,F,,83.5,106.0
101114,Guard,Deron,Williams,75.0,200.0,2005.0,G,,78.25,98.0
101127,Guard,Jarrett,Jack,75.0,200.0,2005.0,G,,79.5,100.0
203486,Forward-Center,Mason,Plumlee,82.0,254.0,2013.0,F,C,83.0,108.0
202721,Guard,Darius,Morris,76.0,195.0,2011.0,G,,79.5,102.0
201961,Guard,Wayne,Ellington,76.0,207.0,2009.0,G,,78.5,100.0
202391,Guard,Jeremy,Lin,75.0,200.0,,G,,78.66,
201941,Forward-Center,Jordan,Hill,82.0,240.0,2009.0,F,C,85.5,108.0
2584,Guard,Willie,Green,75.0,205.0,2003.0,G,,79.25,100.0
203935,Guard,Marcus,Smart,75.0,220.0,2014.0,G,,81.25,99.0
203923,,James,Young,78.0,215.0,2014.0,,,84.0,104.0
201973,Forward,Jonas,Jerebko,82.0,231.0,2009.0,F,,85.83,
203109,Forward,Jae,Crowder,78.0,235.0,2012.0,F,,81.25,99.5
202738,Guard,Isaiah,Thomas,69.0,185.0,2011.0,G,,73.75,91.5
201166,Guard,Aaron,Brooks,72.0,161.0,2007.0,G,,76.0,94.0
2550,Guard,Kirk,Hinrich,76.0,190.0,2003.0,G,,78.0,98.5
201959,Forward,Taj,Gibson,81.0,232.0,2009.0,F,,88.0,109.0
202710,Forward,Jimmy,Butler,79.0,230.0,2011.0,F,,79.5,101.5
201149,Forward-Center,Joakim,Noah,83.0,232.0,2007.0,F,C,85.25,106.5
2734,Guard,Devin,Harris,75.0,185.0,2004.0,G,,79.5,98.5
200826,Guard,J.J.,Barea,70.0,180.0,,G,,73.54,
201571,Guard,D.J.,Augustin,71.0,183.0,2008.0,G,,75.5,94.5
203083,Center,Andre,Drummond,83.0,279.0,2012.0,C,,90.25,109.5
101249,,John,Lucas III,71.0,166.0,,,,72.0,92.0
