Rk,Season,Team,Opp_TS%,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
1,2014-15,CHI,.510,82,50,32,.610,19880,3001,6797,2356,4972,645,1825,1618,2067,959,2792,3751,1781,514,476,1145,1495,8265,.442,.474,.353,.783,.536,.489
2,2014-15,POR,.513,82,51,31,.622,19855,3175,7049,2368,4818,807,2231,1272,1589,879,2881,3760,1799,525,372,1117,1494,8429,.450,.491,.362,.801,.544,.508
3,2014-15,GSW,.514,82,67,15,.817,19730,3410,7137,2527,4920,883,2217,1313,1709,853,2814,3667,2248,762,496,1185,1628,9016,.478,.514,.398,.768,.571,.540
4,2014-15,IND,.521,82,38,44,.463,19855,2998,6824,2386,5084,612,1740,1373,1817,856,2822,3678,1757,505,375,1147,1742,7981,.439,.469,.352,.756,.523,.484
5,2014-15,WAS,.521,82,46,36,.561,19955,3139,6790,2642,5409,497,1381,1305,1758,862,2801,3663,1969,601,378,1233,1707,8080,.462,.488,.360,.742,.534,.499
6,2014-15,SAS,.521,82,55,27,.671,19955,3208,6854,2531,5007,677,1847,1368,1754,806,2772,3578,2000,657,444,1146,1564,8461,.468,.505,.367,.780,.555,.517
7,2014-15,CHA,.525,82,33,49,.402,19905,2913,6932,2415,5366,498,1566,1397,1867,820,2793,3613,1654,499,448,976,1494,7721,.420,.450,.318,.748,.498,.456
8,2014-15,MEM,.526,82,55,27,.671,19905,3097,6763,2674,5517,423,1246,1445,1869,856,2634,3490,1777,700,347,1094,1567,8062,.458,.485,.339,.773,.531,.489
9,2014-15,HOU,.526,82,56,26,.683,19805,3032,6832,2099,4152,933,2680,1525,2133,958,2624,3582,1820,777,407,1366,1803,8522,.444,.506,.348,.715,.548,.512
10,2014-15,ATL,.528,82,60,22,.732,19730,3121,6699,2303,4547,818,2152,1349,1735,715,2611,3326,2111,744,380,1167,1457,8409,.466,.506,.380,.778,.563,.527
11,2014-15,MIL,.528,82,41,41,.500,19930,3083,6722,2538,5222,545,1500,1312,1734,876,2574,3450,1932,789,403,1373,1814,8023,.459,.486,.363,.757,.536,.499
12,2014-15,UTA,.529,82,38,44,.463,19705,2900,6492,2290,4711,610,1781,1391,1929,988,2617,3605,1632,623,489,1256,1583,7801,.447,.486,.343,.721,.531,.494
13,2014-15,OKC,.529,82,45,37,.549,19830,3184,7119,2552,5255,632,1864,1524,2020,1052,2844,3896,1681,598,454,1205,1829,8524,.447,.486,.339,.754,.532,.492
14,2014-15,NOP,.533,82,45,37,.549,19780,3108,6795,2522,5212,586,1583,1345,1790,942,2621,3563,1806,553,510,1087,1530,8147,.457,.484,.370,.751,.537,.501
15,2014-15,BOS,.533,82,40,42,.488,19880,3193,7211,2533,5190,660,2021,1266,1678,910,2685,3595,2009,674,294,1133,1738,8312,.443,.488,.327,.754,.523,.489
16,2014-15,CLE,.535,82,53,29,.646,19780,3089,6739,2263,4486,826,2253,1453,1934,911,2612,3523,1814,603,340,1171,1510,8457,.458,.504,.367,.751,.557,.520
17,2014-15,LAC,.535,82,56,26,.683,19730,3228,6830,2401,4628,827,2202,1468,2067,784,2711,3495,2031,640,409,1012,1749,8751,.473,.519,.376,.710,.565,.533
18,2014-15,BKN,.539,82,38,44,.463,19930,3069,6804,2528,5171,541,1633,1359,1817,846,2627,3473,1716,576,340,1133,1579,8038,.451,.489,.331,.748,.529,.491
19,2014-15,PHX,.539,82,39,43,.476,19880,3178,7038,2480,4990,698,2048,1343,1767,896,2643,3539,1659,700,385,1238,1744,8397,.452,.497,.341,.760,.537,.501
20,2014-15,DET,.539,82,32,50,.390,19830,3041,7038,2338,4995,703,2043,1292,1838,1051,2630,3681,1771,623,383,1099,1559,8077,.432,.468,.344,.703,.515,.482
21,2014-15,PHI,.539,82,18,64,.220,19805,2765,6777,2073,4617,692,2160,1320,1953,978,2536,3514,1683,789,487,1453,1778,7542,.408,.449,.320,.676,.494,.459
22,2014-15,DAL,.541,82,50,32,.610,19880,3255,7036,2523,4954,732,2082,1386,1843,858,2608,3466,1846,663,371,1062,1644,8628,.463,.509,.352,.752,.550,.515
23,2014-15,MIA,.542,82,37,45,.451,19730,2885,6330,2329,4671,556,1659,1438,1940,747,2461,3208,1626,642,372,1214,1636,7764,.456,.499,.335,.741,.540,.500
24,2014-15,TOR,.542,82,49,33,.598,19855,3108,6829,2382,4769,726,2060,1585,2014,881,2526,3407,1701,615,357,1057,1712,8527,.455,.499,.352,.787,.553,.508
25,2014-15,SAC,.543,82,29,53,.354,19855,3010,6617,2549,5267,461,1350,1829,2400,895,2728,3623,1667,550,324,1333,1696,8310,.455,.484,.341,.762,.542,.490
26,2014-15,DEN,.546,82,30,52,.366,19880,3099,7158,2439,5126,660,2032,1462,1991,1012,2653,3665,1788,641,367,1166,1882,8320,.433,.476,.325,.734,.518,.479
27,2014-15,ORL,.551,82,25,57,.305,19755,3076,6792,2522,5194,554,1598,1141,1565,822,2607,3429,1692,647,314,1221,1714,7847,.453,.486,.347,.729,.524,.494
28,2014-15,NYK,.554,82,17,65,.207,19855,2882,6726,2322,5112,560,1614,1211,1575,867,2443,3310,1746,575,382,1206,1768,7535,.428,.454,.347,.769,.508,.470
29,2014-15,LAL,.557,82,21,61,.256,19930,3054,7020,2522,5474,532,1546,1433,1935,952,2647,3599,1715,578,366,1086,1741,8073,.435,.461,.344,.741,.513,.473
30,2014-15,MIN,.569,82,16,66,.195,19805,2986,6820,2580,5597,406,1223,1638,2110,949,2406,3355,1771,668,327,1231,1571,8016,.438,.461,.332,.776,.517,.468
